Gis_id,Nbh_longna,Zipcode,er_ast_10_cl,er_ast_10,dental_visit,prev_med_visit,medicaid_enroll,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012
Nbclus_025,"Union Station, Stanton Park, Kingman Park",20019,188.414009732042,188.414009732042,1592.21481633526,2052.56924032363,2966.15593241746,3768.42158910952,3673.11592223218,3949.45543779936,4617.73005521952,5253.06644994695,5343.05515254487,5003.71859297742,4864.13964484225,5149.12761984747,5861.45095617671,6388.16033207407,6920.92181374126,7010.9298543151
Nbclus_026,"Capitol Hill, Lincoln Park",20540,78.276598491534,78.276598491534,688.893210274866,898.314575968657,1270.32988215382,2877.85175235037,2606.40392355028,2459.52080115075,2522.51119609243,2438.3876572978,2171.73295887368,2065.21159296484",2009.2176800523,2148.3953232297,2330.49848577775,2582.65312392609,2850.23847105015,2903.84516359756
Nbclus_027,"Near Southeast, Navy Yard",20024,18.3949570908685,18.3949570908685,165.094770258963,215.680905282952,302.827038987714,782.245514931767,699.698150633274,643.593536565737,639.914547840087,590.93798136992,504.021815281969,482.867615299833,469.991144682283,504.021814836796,537.592611222151,599.675590690022,666.587244304239,681.07327320595
Nbclus_028,"Historic Anacostia",20020,90.8335859742234,90.8335859742234,891.97391451712,1177.45061254026,1613.22610794832,1681.17229230405,1564.72242602688,1600.94050886613,1741.87233585336,1853.35221116092,1918.56788527087,1883.81360584624,1881.33070678102,1960.42998448474,2249.2910834158,2525.96704112119,2860.64081556476,3090.14950247259
Nbclus_029,"Eastland Gardens, Kenilworth",20019,74.1873683377772,74.1873683377772,816.116422564856,983.237690199897,1416.66734324955,1439.79058095048,1403.38409163576,1442.45692464675,1516.49160179342,1590.52361825372,1684.91343939673,1736.39026135543,1700.86225417093,1752.5914087209,2029.12698538275,2258.45503474196,2515.45081225279,2648.69142168516
Nbclus_030,"Mayfair, Hillbrook, Mahaning Heights",20019,117.292099536296,117.292099536296,1290.0890299971,1554.32711498791,2239.50856424758,2276.38070518937,2218.82252556677,2280.67824758515,2397.94196312434,2515.18858352897,2664.35890523142,2745.53845553955,2689.3461190241,2771.19811252371,3208.41349728906,3570.96219878027,3977.22525512509,4187.77224436411
Nbclus_031,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",20019,154.731235275158,154.731235275158,1702.24825897287,2050.80288023423,2954.83444929557,3002.9321216364,2926.99920062174,3008.45823718194,3162.78013056483,3317.10202394773,3513.99547412591,3621.44772084477,3547.35683834528,3655.21842695641,4231.98115315402,4710.29715426254,5246.33036218005,5524.27350702617
Nbclus_032,"River Terrace, Benning, Greenway, Dupont Park",20019,199.14942120357,199.14942120357,2190.90418008726,2639.51793458857,3803.06529799078,3865.00678988458,3767.2703781646,3872.10851175812,4070.72938184574,4269.34675404828,4522.75323908246,4661.04882829031,4565.68860609882,4704.51530325232,5446.84470259448,6062.46970529503,6752.38044622296,7110.11038098474
Nbclus_033,"Capitol View, Marshall Heights, Benning Heights",20019,161.094757425336,161.094757425336,1772.25541998217,2135.14480079612,3076.35583723488,3126.43158855096,3047.3758279626,3132.18497274472,3292.85355356311,3453.5221343815,3658.51308232221,3770.38444164536,3693.24647578825,3805.54401171835,4406.02685090432,4904.01421611994,5462.09248291485,5751.46639903074
Nbclus_034,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",20020,316.900425811374,316.900425811374,3156.15761063944,4118.79271731896,5678.26109070971,5899.05805820387,5522.40276490574,5653.52736559429,6124.45051440577,6504.75330256155,6753.01729512816,6672.09462093551,6646.52219814982,6915.9831265655,7944.25413568113,8911.21985608214,10070.5851731949,10843.9370205055
Nbclus_035,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",20020,129.329453884161,129.329453884161,1269.99917137179,1676.46316929344,2296.92323252404,2393.63917195045,2227.84041864803,2279.411542495,2480.07301814881,2638.80283235695,2731.66298682285,2682.18041316282,2678.64594361567,2791.26699600424,3202.55072512654,3596.4834219265,4072.99417996429,4399.77195536849
Nbclus_036,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",20020,75.9426544325178,75.9426544325178,745.747432657209,984.424346587979,1348.76041046175,1405.55230855911,1308.19476896363,1338.47749203548,1456.30652978233,1549.51316652684,1604.0409357964,1574.98461583961,1572.90916441412,1639.04059392617,1880.54766889169,2111.8661641321,2391.67475176794,2583.55966992414
Nbclus_037,"Sheridan, Barry Farm, Buena Vista",20373,139.229037719651,139.229037719651,1367.13025330017,1804.83077592122,2472.62301169481,2577.48738724384,2398.95682049603,2454.63729440316,2670.57089801044,2841.12815054314,2940.54275475267,2887.48204949588,2883.8674059758,3005.42982834451,3448.52552362987,3872.91135160588,4385.6492833425,4737.14000995787
Nbclus_038,"Douglas, Shipley Terrace",20032,187.883852532738,187.883852532738,1826.54886462895,2445.04740546657,3309.89969827474,3618.07429600833,3368.14346626652,3479.87956300152,3751.62705886083,3909.31697450807,3919.06307062855,3894.68055645395,3932.70409275393,4168.93001411115,4841.25818230648,5481.34917633679,6117.52036908821,6524.27356614537
Nbclus_039,"Congress Heights, Bellevue, Washington Highlands",20032,459.33489605344,459.33489605344,4423.46946936003,5999.39194030482,8030.5267172035,9166.07991980912,8534.39145422194,8891.46827013219,9510.78716947721,9730.14717844961,9468.73173472343,9517.38608023217,9708.70642825338,10451.7231256653,12265.971450548,13985.3841015332,15412.8689230227,16252.3722208527
